Exact	Measured
35.5352	30.0501	
51.7105	51.9056	
27.6266	25.9334	
47.6659	34.1746	
0	-1.60642	
19.3438	22.2653	
29.6	22.9637	
30.521	28.6144	
41.824	37.6684	
24.9589	29.4852	
41.1347	27.1556	
0	-2.26101	
40.8356	40.9967	
0	3.6278	
0	1.15907	
51.3047	64.7538	
0	4.4997	
0	1.79863	
14.301	7.80761	
28.2324	22.5151	
16.9983	15.4013	
33.4007	26.8375	
25.5077	15.8739	
42.1639	35.4916	
47.4614	53.7041	
50.7059	56.1704	
31.2112	31.4557	
50.5607	61.3092	
19.3751	24.5677	
21.614	23.5548	
48.1375	41.3767	
7.82685	14.109	
0	-0.23164	
0	0.521789	
49.072	38.2455	
22.4531	23.2224	
0	3.0436	
24.9685	20.5269	
51.0066	49.821	
0	-1.70436	
47.4638	49.5827	
46.5766	49.104	
43.143	40.0795	
0	-2.97271	
34.3119	41.4992	
16.554	16.2536	
7.79527	6.84819	
0	-3.73613	
0	-2.32665	
40.6868	42.3835	
0	6.18192	
26.8384	27.2338	
0	2.58963	
52.1769	61.9285	
43.4077	51.3673	
0	5.84455	
41.3043	42.0044	
20.4287	13.4038	
34.8495	36.3546	
4.61081	1.3306	
30.7068	31.49	
21.9861	23.055	
4.03357	5.09537	
40.7699	29.7069	
50.8592	51.4322	
36.5882	32.294	
20.9018	25.7329	
16.5447	20.4403	
30.3378	30.3785	
38.4349	22.8396	
11.5246	11.2423	
